Date : 2022-04-24 21:00:22
Directory : d:\typescript-algorithms
Total : 591 files,  12675 codes, 931 comments, 1548 blanks, all 15154 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\leetcode\hot 100\19. Remove Nth Node From End of List\__test__                                                                                |          1 |          9 |          0 |          2 |         11 |
| src\leetcode\hot 100\198. House Robber                                                                                                            |          1 |         10 |          1 |          2 |         13 |
| src\leetcode\hot 100\2. Add Two Numbers                                                                                                           |          2 |         71 |         14 |          7 |         92 |
| src\leetcode\hot 100\20. Valid Parentheses                                                                                                        |          1 |         20 |          0 |          2 |         22 |
| src\leetcode\hot 100\200. Number of Islands                                                                                                       |          2 |        112 |          0 |         14 |        126 |
| src\leetcode\hot 100\206. Reverse Linked List                                                                                                     |          2 |         20 |         11 |          4 |         35 |
| src\leetcode\hot 100\207. Course Schedule                                                                                                         |          1 |         33 |          0 |          2 |         35 |
| src\leetcode\hot 100\208. Implement Trie (Prefix Tree)                                                                                            |          1 |         37 |          7 |          7 |         51 |
| src\leetcode\hot 100\21. Merge Two Sorted Lists                                                                                                   |          2 |         30 |         11 |          6 |         47 |
| src\leetcode\hot 100\215. Kth Largest Element in an Array                                                                                         |          2 |         76 |          0 |          9 |         85 |
| src\leetcode\hot 100\215. Kth Largest Element in an Array\__test__                                                                                |          1 |          8 |          0 |          1 |          9 |
| src\leetcode\hot 100\22. Generate Parentheses                                                                                                     |          1 |         29 |          0 |          2 |         31 |
| src\leetcode\hot 100\221. Maximal Square                                                                                                          |          1 |         31 |          0 |          5 |         36 |
| src\leetcode\hot 100\226. Invert Binary Tree                                                                                                      |          3 |         46 |         26 |          9 |         81 |
| src\leetcode\hot 100\234. Palindrome Linked List                                                                                                  |          2 |         41 |         11 |          6 |         58 |
| src\leetcode\hot 100\236. Lowest Common Ancestor of a Binary Tree                                                                                 |          2 |         45 |         13 |          5 |         63 |
| src\leetcode\hot 100\238. Product of Array Except Self                                                                                            |          2 |         32 |          0 |          6 |         38 |
| src\leetcode\hot 100\239. Sliding Window Maximum                                                                                                  |          1 |         22 |          1 |          3 |         26 |
| src\leetcode\hot 100\240. Search a 2D Matrix II                                                                                                   |          2 |         41 |          3 |          6 |         50 |
| src\leetcode\hot 100\279. Perfect Squares                                                                                                         |          1 |         11 |          0 |          2 |         13 |
| src\leetcode\hot 100\283. Move Zeroes                                                                                                             |          3 |         35 |         10 |          5 |         50 |
| src\leetcode\hot 100\287. Find the Duplicate Number                                                                                               |          4 |         57 |          3 |          7 |         67 |
| src\leetcode\hot 100\297. Serialize and Deserialize Binary Tree                                                                                   |          2 |         52 |         19 |          7 |         78 |
| src\leetcode\hot 100\3. Longest Substring Without Repeating Characters                                                                            |          1 |         14 |          4 |          2 |         20 |
| src\leetcode\hot 100\300. Longest Increasing Subsequence                                                                                          |          1 |         18 |          1 |          4 |         23 |
| src\leetcode\hot 100\301. Remove Invalid Parentheses                                                                                              |          1 |         41 |          0 |          3 |         44 |
| src\leetcode\hot 100\309. Best Time to Buy and Sell Stock with Cooldown                                                                           |          1 |         13 |          7 |          2 |         22 |
| src\leetcode\hot 100\31. Next Permutation                                                                                                         |          2 |         33 |          3 |          4 |         40 |
| src\leetcode\hot 100\31. Next Permutation\__test__                                                                                                |          1 |          8 |          0 |          2 |         10 |
| src\leetcode\hot 100\312. Burst Balloons                                                                                                          |          1 |         27 |          3 |          2 |         32 |
| src\leetcode\hot 100\32. Longest Valid Parentheses                                                                                                |          1 |         18 |          2 |          2 |         22 |
| src\leetcode\hot 100\322. Coin Change                                                                                                             |          1 |         15 |          3 |          1 |         19 |
| src\leetcode\hot 100\337. House Robber III                                                                                                        |          2 |         30 |         15 |          7 |         52 |
| src\leetcode\hot 100\338. Counting Bits                                                                                                           |          1 |         13 |          0 |          2 |         15 |
| src\leetcode\hot 100\34. Find First and Last Position of Element in Sorted Array                                                                  |          3 |         63 |          0 |          9 |         72 |
| src\leetcode\hot 100\347. Top K Frequent Elements                                                                                                 |          3 |        146 |          2 |         13 |        161 |
| src\leetcode\hot 100\39. Combination Sum                                                                                                          |          1 |         21 |          2 |          5 |         28 |
| src\leetcode\hot 100\394. Decode String                                                                                                           |          1 |         33 |          1 |          2 |         36 |
| src\leetcode\hot 100\399. Evaluate Division                                                                                                       |          1 |         55 |          3 |          4 |         62 |
| src\leetcode\hot 100\4. Median of Two Sorted Arrays                                                                                               |          2 |         55 |          0 |          7 |         62 |
| src\leetcode\hot 100\406. Queue Reconstruction by Height                                                                                          |          1 |         14 |          2 |          1 |         17 |
| src\leetcode\hot 100\416. Partition Equal Subset Sum                                                                                              |          1 |         35 |          3 |          3 |         41 |
| src\leetcode\hot 100\42. Trapping Rain Water                                                                                                      |          1 |         19 |          0 |          3 |         22 |
| src\leetcode\hot 100\437. Path Sum III                                                                                                            |          2 |         33 |         15 |          4 |         52 |
| src\leetcode\hot 100\438. Find All Anagrams in a String                                                                                           |          1 |         40 |          0 |          2 |         42 |
| src\leetcode\hot 100\448. Find All Numbers Disappeared in an Array                                                                                |          3 |         41 |          0 |          4 |         45 |
| src\leetcode\hot 100\46. Permutations                                                                                                             |          2 |         30 |          0 |          9 |         39 |
| src\leetcode\hot 100\46. Permutations\__test__                                                                                                    |          1 |         15 |          0 |          2 |         17 |
| src\leetcode\hot 100\461. Hamming Distance                                                                                                        |          2 |         40 |          0 |          2 |         42 |
| src\leetcode\hot 100\48. Rotate Image                                                                                                             |          2 |         28 |          8 |          3 |         39 |
| src\leetcode\hot 100\49. Group Anagrams                                                                                                           |          1 |         18 |          0 |          1 |         19 |
| src\leetcode\hot 100\494. Target Sum                                                                                                              |          2 |         43 |          5 |          4 |         52 |
| src\leetcode\hot 100\5. Longest Palindromic Substring                                                                                             |          3 |         80 |          4 |          8 |         92 |
| src\leetcode\hot 100\5. Longest Palindromic Substring\__test__                                                                                    |          1 |          7 |          0 |          2 |          9 |
| src\leetcode\hot 100\53. Maximum Subarray                                                                                                         |          1 |         11 |          0 |          1 |         12 |
| src\leetcode\hot 100\538. Convert BST to Greater Tree                                                                                             |          2 |         24 |         14 |          7 |         45 |
| src\leetcode\hot 100\543. Diameter of Binary Tree                                                                                                 |          2 |         25 |         13 |          5 |         43 |
| src\leetcode\hot 100\55. Jump Game                                                                                                                |          1 |         10 |          0 |          2 |         12 |
| src\leetcode\hot 100\56. Merge Intervals                                                                                                          |          3 |         70 |          0 |          5 |         75 |
| src\leetcode\hot 100\56. Merge Intervals\__test__                                                                                                 |          1 |         22 |          0 |          2 |         24 |
| src\leetcode\hot 100\560. Subarray Sum Equals K                                                                                                   |          2 |         31 |          3 |          2 |         36 |
| src\leetcode\hot 100\581. Shortest Unsorted Continuous Subarray                                                                                   |          1 |         20 |          1 |          1 |         22 |
| src\leetcode\hot 100\617. Merge Two Binary Trees                                                                                                  |          3 |         81 |          0 |          5 |         86 |
| src\leetcode\hot 100\62. Unique Paths                                                                                                             |          2 |         27 |          1 |          3 |         31 |
| src\leetcode\hot 100\62. Unique Paths\__test__                                                                                                    |          1 |          7 |          0 |          2 |          9 |
| src\leetcode\hot 100\621. Task Scheduler                                                                                                          |          1 |         35 |          4 |          5 |         44 |
| src\leetcode\hot 100\64. Minimum Path Sum                                                                                                         |          1 |         18 |          0 |          2 |         20 |
| src\leetcode\hot 100\647. Palindromic Substrings                                                                                                  |          2 |         48 |          0 |          4 |         52 |
| src\leetcode\hot 100\70. Climbing Stairs                                                                                                          |          1 |          9 |          0 |          2 |         11 |
| src\leetcode\hot 100\72. Edit Distance                                                                                                            |          1 |         27 |          0 |          2 |         29 |
| src\leetcode\hot 100\739. Daily Temperatures                                                                                                      |          1 |         16 |          0 |          1 |         17 |
| src\leetcode\hot 100\75. Sort Colors                                                                                                              |          3 |         41 |         12 |          4 |         57 |
| src\leetcode\hot 100\76. Minimum Window Substring                                                                                                 |          2 |         40 |          2 |          6 |         48 |
| src\leetcode\hot 100\76. Minimum Window Substring\__test__                                                                                        |          1 |          6 |          0 |          2 |          8 |
| src\leetcode\hot 100\78. Subsets                                                                                                                  |          1 |         13 |          0 |          2 |         15 |
| src\leetcode\hot 100\79. Word Search                                                                                                              |          1 |         43 |          0 |          8 |         51 |
| src\leetcode\hot 100\84. Largest Rectangle in Histogram                                                                                           |          3 |         58 |          4 |         19 |         81 |
| src\leetcode\hot 100\85. Maximal Rectangle                                                                                                        |          2 |         85 |          0 |         13 |         98 |
| src\leetcode\hot 100\94. Binary Tree Inorder Traversal                                                                                            |          3 |         39 |         26 |         11 |         76 |
| src\leetcode\hot 100\96. Unique Binary Search Trees                                                                                               |          3 |         29 |          2 |          7 |         38 |
| src\leetcode\hot 100\98. Validate Binary Search Tree                                                                                              |          3 |         47 |         26 |         11 |         84 |
| src\leetcode\linked-list                                                                                                                          |         20 |        498 |        198 |         74 |        770 |
| src\leetcode\linked-list\剑指 Offer 35. 复杂链表的复制                                                                                                     |          2 |         31 |         13 |          3 |         47 |
| src\leetcode\linked-list\剑指 Offer II 024. 反转链表                                                                                                    |          2 |         20 |         14 |          4 |         38 |
| src\leetcode\linked-list\剑指 Offer II 026. 重排链表                                                                                                    |          4 |        103 |         54 |         22 |        179 |
| src\leetcode\linked-list\剑指 Offer II 027. 回文链表                                                                                                    |          3 |         57 |         29 |          7 |         93 |
| src\leetcode\linked-list\剑指 Offer II 077. 链表排序                                                                                                    |          5 |        177 |         65 |         25 |        267 |
| src\leetcode\linked-list\剑指 Offer II 078. 合并排序链表                                                                                                  |          4 |        110 |         23 |         13 |        146 |
| src\leetcode\linked-list\剑指 Offer II 078. 合并排序链表\__test__                                                                                         |          1 |         48 |          0 |          3 |         51 |
| src\leetcode\main                                                                                                                                 |        156 |      2,929 |         16 |        272 |      3,217 |
| src\leetcode\main\1. Two Sum                                                                                                                      |          1 |         11 |          0 |          2 |         13 |
| src\leetcode\main\101. Symmetric Tree                                                                                                             |          3 |         54 |          0 |          8 |         62 |
| src\leetcode\main\102. Binary Tree Level Order Traversal                                                                                          |          2 |         37 |          0 |          3 |         40 |
| src\leetcode\main\103. Binary Tree Zigzag Level Order Traversal                                                                                   |          2 |         43 |          0 |          3 |         46 |
| src\leetcode\main\104. Maximum Depth of Binary Tree                                                                                               |          2 |         22 |          0 |          4 |         26 |
| src\leetcode\main\105. Construct Binary Tree from Preorder and Inorder Traversal                                                                  |          2 |         29 |          0 |          4 |         33 |
| src\leetcode\main\11. Container With Most Water                                                                                                   |          1 |         15 |          0 |          1 |         16 |
| src\leetcode\main\112. Path Sum                                                                                                                   |          2 |         23 |          0 |          5 |         28 |
| src\leetcode\main\113. Path Sum II                                                                                                                |          2 |         30 |          0 |          6 |         36 |
| src\leetcode\main\114. Flatten Binary Tree to Linked List                                                                                         |          3 |         47 |          0 |          6 |         53 |
| src\leetcode\main\1143. Longest Common Subsequence                                                                                                |          1 |         22 |          0 |          1 |         23 |
| src\leetcode\main\121. Best Time to Buy and Sell Stock                                                                                            |          1 |         12 |          0 |          1 |         13 |
| src\leetcode\main\124. Binary Tree Maximum Path Sum                                                                                               |          2 |         25 |          0 |          8 |         33 |
| src\leetcode\main\128. Longest Consecutive Sequence                                                                                               |          1 |         16 |          0 |          1 |         17 |
| src\leetcode\main\131. Palindrome Partitioning                                                                                                    |          1 |         27 |          0 |          2 |         29 |
| src\leetcode\main\1343. Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold                                             |          1 |         23 |          0 |          1 |         24 |
| src\leetcode\main\136. Single Number                                                                                                              |          1 |          7 |          0 |          1 |          8 |
| src\leetcode\main\1370. Increasing Decreasing String                                                                                              |          1 |         23 |          0 |          1 |         24 |
| src\leetcode\main\1374. Generate a String With Characters That Have Odd Counts                                                                    |          1 |         10 |          2 |          1 |         13 |
| src\leetcode\main\141. Linked List Cycle                                                                                                          |          2 |         25 |          0 |          3 |         28 |
| src\leetcode\main\142. Linked List Cycle II                                                                                                       |          2 |         36 |          0 |          3 |         39 |
| src\leetcode\main\143. Reorder List                                                                                                               |          2 |         29 |          0 |          3 |         32 |
| src\leetcode\main\144. Binary Tree Preorder Traversal                                                                                             |          3 |         43 |          0 |          5 |         48 |
| src\leetcode\main\146. LRU Cache                                                                                                                  |          1 |         69 |          0 |          7 |         76 |
| src\leetcode\main\15. 3Sum                                                                                                                        |          1 |         31 |          0 |          2 |         33 |
| src\leetcode\main\152. Maximum Product Subarray                                                                                                   |          1 |         14 |          0 |          1 |         15 |
| src\leetcode\main\155. Min Stack                                                                                                                  |          1 |         25 |          0 |          5 |         30 |
| src\leetcode\main\160. Intersection of Two Linked Lists                                                                                           |          2 |         27 |          0 |          3 |         30 |
| src\leetcode\main\169. Majority Element                                                                                                           |          1 |         15 |          0 |          1 |         16 |
| src\leetcode\main\17. Letter Combinations of a Phone Number                                                                                       |          1 |         26 |          0 |          3 |         29 |
| src\leetcode\main\19. Remove Nth Node From End of List                                                                                            |          2 |         27 |          0 |          3 |         30 |
| src\leetcode\main\199. Binary Tree Right Side View                                                                                                |          2 |         37 |          0 |          4 |         41 |
| src\leetcode\main\20. Valid Parentheses                                                                                                           |          1 |         22 |          0 |          1 |         23 |
| src\leetcode\main\200. Number of Islands                                                                                                          |          1 |         34 |          0 |          3 |         37 |
| src\leetcode\main\206. Reverse Linked List                                                                                                        |          2 |         19 |          0 |          3 |         22 |
| src\leetcode\main\207. Course Schedule                                                                                                            |          1 |         30 |          0 |          1 |         31 |
| src\leetcode\main\209. Minimum Size Subarray Sum                                                                                                  |          1 |         17 |          0 |          1 |         18 |
| src\leetcode\main\21. Merge Two Sorted Lists                                                                                                      |          2 |         28 |          0 |          3 |         31 |
| src\leetcode\main\22. Generate Parentheses                                                                                                        |          1 |         15 |          0 |          1 |         16 |
| src\leetcode\main\226. Invert Binary Tree                                                                                                         |          2 |         23 |          0 |          5 |         28 |
| src\leetcode\main\23. Merge k Sorted Lists                                                                                                        |          2 |         48 |          0 |          4 |         52 |
| src\leetcode\main\234. Palindrome Linked List                                                                                                     |          2 |         35 |          0 |          3 |         38 |
